# Edit at your own risk. Consists of Cheat Data for GTASA Admin Console
# This file gets regenerated when you click on Save Changes to Config File button.
# If you delete this file, it will be regenerated by the next time you run GTASA_Console
GTASACheats
#UID | Folder | Cheat String | Description
695A459E-22F0-B248-9B42-4A567041CB8C|GTA SA Cheats\Weather|XJVSNAJ|Always Midnight
EB596FFE-6D9C-2A41-95CF-0EEA381B0B9B|GTA SA Cheats\Weather|CFVFGMJ|Foggy Weather
62E18993-AD9C-8A49-892A-4D91C2D2CE28|GTA SA Cheats\Weather|OFVIAC|Orange Sky 21:00
5FA64B12-E3D7-8643-AB16-A9BAB6A9C7DB|GTA SA Cheats\Weather|ALNSFMZO|Overcast Weather
62D92F4D-4485-3440-B947-2D69B1D6DFC0|GTA SA Cheats\Weather|AUIFRVQS|Rainy Weather
30B3EFF5-1A8E-DF43-8019-2E0AA18D4D35|GTA SA Cheats\Weather|CWJXUOC|Sandstorm
7D285E89-F458-B746-9D69-655E216C75AD|GTA SA Cheats\Weather|PLEASANTLYWARM|Sunny Weather
7FC161BA-A164-E549-924A-12B076A537AA|GTA SA Cheats\Weather|AFZLLQLL|Sunny Weather
55635393-A36C-844B-AB0A-E620F33A92C1|GTA SA Cheats\Weather|SCOTTISHSUMMER|Thunderstorm
BB112EEC-3EA9-094C-B73D-B3BD55A910F6|GTA SA Cheats\Weather|MGHXYRM|Thunderstorm
008CBA98-2BAD-034C-A3E6-39D75279D7D2|GTA SA Cheats\Weather|TOODAMNHOT|Very Sunny Weather
95FC4698-46B2-F346-89DC-98C675371E0D|GTA SA Cheats\Weather|ICIKPYH|Very Sunny Weather
END_GTASACheats

