# Edit at your own risk. Consists of Location Data for GTASA Control Center
# This file gets regenerated when you click on Save Changes to Config File button.
# If you delete this file, it will be regenerated by the next time you run GTASA Control Center
GTASAWarpLocations
#GTA San Andreas Warp Locations:
#UID | Folder | Description | LocationData(X;Y;Z;Angle)
5D3EC901-F459-C147-89C4-BA7AB94CA14D|GTA SA Locations\Flowers|Flower 35|2197.02;2476.33;11.0;90
F42808A6-E98F-744D-B175-17EBC1458ADF|GTA SA Locations\Flowers|Flower 36|2212.0;2526.0;10.81;90
C923543D-5D66-6E49-ACD3-F3869D9D7E0C|GTA SA Locations\Flowers|Flower 37|2715.79;1109.47;6.7;90
A7BE054E-EAE1-1A42-9C72-5467FE9ED7A8|GTA SA Locations\Flowers|Flower 38|2489.25;918.28;11.02;90
BC7C9605-DD98-0942-BD93-971C08872FA1|GTA SA Locations\Flowers|Flower 39|1472.08;1890.09;10.81;90
B727780C-F192-6148-85FF-1847DA748C75|GTA SA Locations\Girlfriends|GF Barbara|-1404.344;2640.061;55.887;90
88AC0067-CDD8-394A-95CC-91FBF7EC73CB|GTA SA Locations\Girlfriends|GF Denise|2402.54;-1727.254;12.874;90
AEF92A40-842F-E847-BFE4-17FD8DA745FB|GTA SA Locations\Girlfriends|GF Helena|-373.616;-1441.395;25.927;90
61AAC54B-506E-0649-A384-F5DB42E8E132|GTA SA Locations\Girlfriends|GF Katie|-2575.641;1142.277;55.382;90
0A514402-CA3E-004F-8C53-FFE6A7E60147|GTA SA Locations\Girlfriends|GF Michelle|-1791.83;1193.698;24.561;90
2BAD407A-C602-7C4C-948B-6ECCB9F20531|GTA SA Locations\Girlfriends|GF Millie|2037.287;2734.815;10.415;90
337CA947-9F54-884C-8A08-3307EE167C51|GTA SA Locations\Horseshoes|Horseshoe 01|1224;2617;11;90
49B1FFB2-01CC-9642-B8FE-AA7EB550A640|GTA SA Locations\Horseshoes|Horseshoe 02|2323;1284;97;90
4C00AD9D-6233-FF47-99F1-4395C0590C2B|GTA SA Locations\Horseshoes|Horseshoe 03|2035;2305;18;90
A7F278A1-E277-B849-8050-250066801254|GTA SA Locations\Horseshoes|Horseshoe 04|2491;2263;15;90
60C40E91-9D22-7641-84AB-CD7FAE65AF75|GTA SA Locations\Horseshoes|Horseshoe 05|1433;2796;20;90
6A3F596C-E120-CE40-8180-DA7355F44625|GTA SA Locations\Horseshoes|Horseshoe 06|2071;712;11;90
09B9589E-E094-B949-A548-32270597E321|GTA SA Locations\Horseshoes|Horseshoe 07|2239;1839;18;90
A580BC98-857A-434A-9672-69A96C0124FE|GTA SA Locations\Horseshoes|Horseshoe 08|2583;2387;16;90
C73819EF-0D91-B543-BF23-1AB000EBF268|GTA SA Locations\Horseshoes|Horseshoe 09|2864;857;13;90
C5DA1958-B799-9C47-BA32-625169A7B5F8|GTA SA Locations\Horseshoes|Horseshoe 10|2612;2200;-1;90
2FBF627C-CC0A-D649-B97B-712F064B74CF|GTA SA Locations\Horseshoes|Horseshoe 11|2274;1507;24;90
809D51A7-5E31-BC48-8920-CE123976577C|GTA SA Locations\Horseshoes|Horseshoe 12|2184;2529;11;90
90ED3992-4238-834A-AB7C-E5D47B83AB56|GTA SA Locations\Horseshoes|Horseshoe 13|1863;2314;15;90
FE745255-7DF2-F146-B045-D2029D3C0927|GTA SA Locations\Horseshoes|Horseshoe 14|2054;2434;166;90
A8A4A473-F393-C745-94DD-7B2088EF78F8|GTA SA Locations\Horseshoes|Horseshoe 15|1603;1435;11;90
A185AB4F-9965-8940-8D60-2E5C22B71D0B|GTA SA Locations\Horseshoes|Horseshoe 16|1362.92;1015.24;11;90
7675E3D3-297C-064B-8BBF-FF22A275907D|GTA SA Locations\Horseshoes|Horseshoe 17|2058.7;2159.1;16;90
4990C4C0-3515-634B-9E68-D0E1CBCA5590|GTA SA Locations\Horseshoes|Horseshoe 18|2003;1672;12;90
FA5B8720-4C03-3047-98F3-D6DF6B89B411|GTA SA Locations\Horseshoes|Horseshoe 19|2238;1135;49;90
654B750A-449A-2544-81AF-478DAC7FD749|GTA SA Locations\Horseshoes|Horseshoe 20|1934.06;988.79;22;90
C9EF7A29-09E4-FA4B-8B0B-47B03F1DAE7B|GTA SA Locations\Horseshoes|Horseshoe 21|1768;2847;9;90
62C93A90-BA7D-B84D-9743-F8AA6061A051|GTA SA Locations\Horseshoes|Horseshoe 22|1084;1076;11;90
46C6ED8D-2ED7-8A45-AA9C-618CAB2C348D|GTA SA Locations\Horseshoes|Horseshoe 23|2879;2522;11;90
0207F072-693E-D840-8F78-C3F22263B30B|GTA SA Locations\Horseshoes|Horseshoe 24|2371;2009;15;90
81F674BA-E836-B847-B42D-12105F068DE9|GTA SA Locations\Horseshoes|Horseshoe 25|1521;1690;10.6;90
A7C05A64-C95F-364C-873A-0AF1CCAAC7C4|GTA SA Locations\Horseshoes|Horseshoe 26|2417;1281;21;90
B9E74549-B7E9-1940-B808-C56044ADAF76|GTA SA Locations\Horseshoes|Horseshoe 27|1376;2304;15;90
222C51E6-5BE4-4140-A845-AE82C0AA0737|GTA SA Locations\Horseshoes|Horseshoe 28|1393;1832;12.34;90
A91ECECB-7100-BB47-9EAC-645B16EE30A4|GTA SA Locations\Horseshoes|Horseshoe 29|984;2563;12;90
01DFB6B0-4727-884D-85F4-951C5C06722B|GTA SA Locations\Horseshoes|Horseshoe 30|1767;601;13;90
2FE046A8-2194-7643-A0D5-2D502CC110AC|GTA SA Locations\Horseshoes|Horseshoe 31|2108;1003;46;90
76DF84B0-B7BA-064A-BECB-7A37DDAE2DB4|GTA SA Locations\Horseshoes|Horseshoe 32|2705.98;1862.52;24.41;90
3FEC99B9-B873-BF46-9C2D-5E5B70F6CA15|GTA SA Locations\Horseshoes|Horseshoe 33|2493;922;16;90
AF47F17A-80D7-9240-A82F-BF7384F9D351|GTA SA Locations\Horseshoes|Horseshoe 34|1881;2846;11;90
30755B5E-6998-5145-B9E2-2EC8B6546A52|GTA SA Locations\Horseshoes|Horseshoe 35|2020;2352;11;90
CC897CAC-B687-F449-8765-244392E27EB3|GTA SA Locations\Horseshoes|Horseshoe 36|1680.3;2226.86;16.11;90
42034290-2A21-2849-B166-46B136B6FDDF|GTA SA Locations\Horseshoes|Horseshoe 37|1462;936;10;90
836F6866-519A-9F4C-8F3C-CE05AFE98A88|GTA SA Locations\Horseshoes|Horseshoe 38|2125.5;789.23;11.45;90
1ED38222-0FF0-2149-A6D5-3BD80400FC22|GTA SA Locations\Horseshoes|Horseshoe 39|2588;1902;15;90
9BC50855-59BE-6A4C-89AF-B65B11260F40|GTA SA Locations\Horseshoes|Horseshoe 40|919;2070;11;90
3953F627-E493-E149-98C6-5F9341780267|GTA SA Locations\Horseshoes|Horseshoe 41|2173;2465;11;90
401F7058-A311-324B-8E84-0D5F672D44B4|GTA SA Locations\Horseshoes|Horseshoe 42|2031.25;2207.33;11;90
EC1A223C-3F87-8643-82B2-EFAB6C1C7A80|GTA SA Locations\Horseshoes|Horseshoe 43|2509;1144;19;90
F789E376-26B2-DA4B-8F63-9A9AA5F2646F|GTA SA Locations\Horseshoes|Horseshoe 44|2215;1968;11;90
E90B0DBE-6DEE-5447-9F34-2E81A4CCD8A4|GTA SA Locations\Horseshoes|Horseshoe 45|2626;2841;11;90
B8923DD2-5D15-FD4F-9268-D6CF0F5BC4B4|GTA SA Locations\Horseshoes|Horseshoe 46|2440.08;2161.07;20;90
64531205-E3AD-CD49-A62B-F0025F0C6C67|GTA SA Locations\Horseshoes|Horseshoe 47|1582;2401;19;90
84323381-2897-E145-BE2F-3627A2C8E843|GTA SA Locations\Horseshoes|Horseshoe 48|2077;1912;14;90
9B2DAFA9-4912-784D-A24B-37E6CEBFBE69|GTA SA Locations\Horseshoes|Horseshoe 49|970;1787;11;90
9A66C497-6983-9540-A397-D70A7A20B54B|GTA SA Locations\Horseshoes|Horseshoe 50|1526.22;751;29.04;90
93516E97-7562-5D46-8476-AB498A9DBB12|GTA SA Locations\Misc|Bomb Workshop|1837.316;-1856.73;13.279;90
6570881B-6E6E-7240-87AC-87F31C3AC43D|GTA SA Locations\Misc|Liberty City (Step 1) (Go inside Ganton Gym first)|1416.107000;0.268620;1000.926000;0.000000
61B4C9C1-86FD-914A-8A61-7DDC6A210AD3|GTA SA Locations\Misc|Liberty City (Step 2)|-783.261400;503.134700;1381.600000;180
F8E66450-F97C-294D-9FB1-390FD63CBE11|GTA SA Locations\Odd Jobs\Challenges|BMX Challenge|1946.903000;-1383.854000;18.570650;17.495700
7C1E40FD-9BDB-BB4C-8879-D2BE0DDB896D|GTA SA Locations\Odd Jobs\Challenges|Chiliad Challenge|-2306.177000;-1645.642000;483.697100;162.058000
D2DDD335-F72A-5749-BB7F-C8D35A276B41|GTA SA Locations\Odd Jobs\Challenges|NRG-500 Challenge|-1695.653000;72.912010;3.549483;1.269436
804B7C01-ABB3-624D-A313-7A611256F884|GTA SA Locations\Odd Jobs\Courier Missions|Burger Shot (Las Venturas)|1890.066000;2090.777000;11.062500;142.922200
2D42393F-6378-4342-B2B9-B58FAAC56632|GTA SA Locations\Odd Jobs\Courier Missions|Hippy Shopper (San Fierro)|-2592.980000;68.886310;4.335938;337.780800
D6FB0797-E574-684A-ACCE-7CB7893AA3E6|GTA SA Locations\Odd Jobs\Courier Missions|Roboi's Food Mart (Los Santos)|1360.541000;-1750.922000;13.374060;161.944000
6F9FE714-3A47-8549-80D7-AD1F55F16153|GTA SA Locations\Odd Jobs\Gym Moves|Las Venturas (Kickboxing)|1957.326000;2287.917000;10.158670;89.180330
B8D864F8-248D-A648-867D-017BD58BB4F7|GTA SA Locations\Odd Jobs\Gym Moves|Los Santos (Boxing)|2225.610000;-1723.174000;13.017170;214.920800
F84257C6-F44B-384D-9C4E-F314B0488F02|GTA SA Locations\Odd Jobs\Gym Moves|San Fierro (Martial Arts)|-2264.542000;-152.099200;34.658920;180.596400
449F9E53-B41F-6B45-9759-02208F221C55|GTA SA Locations\Odd Jobs\Race Tournaments|Las Venturas Airport Race Tournament|1702.793000;1641.178000;10.582430;7.427214
B93362FE-7F73-1D49-B92B-9D17974C6203|GTA SA Locations\Odd Jobs\Race Tournaments|Las Venturas Race Tournament|1642.444000;916.771200;10.664410;126.818100
348B1C95-E2BC-AF45-B7D1-18267FC3A3EE|GTA SA Locations\Odd Jobs\Race Tournaments|Los Santos Race Tournament|1768.739000;-1699.618000;13.479560;153.941900
FE7A8D5A-1DD8-7645-894A-4B2E40B4845E|GTA SA Locations\Odd Jobs\Race Tournaments|San Fierro race Tournament|-1916.959000;285.362700;41.046880;112.469300
8CCDD8A3-2FE9-984D-8701-8C61BBE54735|GTA SA Locations\Odd Jobs\Schools|Bike School (Las Venturas)|1167.100000;1369.407000;10.812510;195.873000
9A5D9EBA-EE05-284F-9897-F8981DC4F5D2|GTA SA Locations\Odd Jobs\Schools|Boat School (Desert)|-2188.587000;2407.630000;4.968695;319.630300
832114CE-9101-6445-BEA7-338597CA4EF0|GTA SA Locations\Odd Jobs\Schools|Driving School (San Fierro)|-2025.768000;-95.048030;35.164060;168.408800
6F3FE8DA-B85A-3D45-AE2F-04925084722A|GTA SA Locations\Odd Jobs\Schools|Flying School (Desert)|405.755700;2538.075000;16.546200;248.228100
2BCDC06E-312B-1448-B7AD-36D0364209CC|GTA SA Locations\Odd Jobs\Stadium Events|8-Track|2690.875000;-1697.722000;10.464210;215.586800
07BF03B1-73D4-0145-9CE9-36904424A973|GTA SA Locations\Odd Jobs\Stadium Events|Blood Bowl|-2129.102000;-444.389500;35.534350;270.408300
0E59AC74-C4CF-0C46-8BE5-C0E33261F4B2|GTA SA Locations\Odd Jobs\Stadium Events|Dirt Track (Mon and Tue only)|1108.987000;1605.899000;12.546880;110.157900
DBD83AD7-E50E-624C-9B75-69B72527D6C3|GTA SA Locations\Odd Jobs\Stadium Events|Kickstart|1108.987000;1605.899000;12.546880;110.157900
8157F175-0CE6-4944-A7C6-11A320AE4C0D|GTA SA Locations\Odd Jobs\Triathlon (Sat and Sun only)|Triathlon Fisher's Lagoon|2146.415000;-74.165370;3.184616;62.353940
CA877ECF-B2EA-7041-9DAF-8561ED66A643|GTA SA Locations\Odd Jobs\Triathlon (Sat and Sun only)|Triathlon Santa Maria Beach|187.278400;-1867.068000;3.011861;150.401400
561A0CF5-063F-3449-A3EF-E1DB75842F42|GTA SA Locations\Odd Jobs|Trucking|-73.913660;-1127.773000;1.078125;156.568300
3659B0F2-8893-4B44-BF43-75D38F092142|GTA SA Locations\Odd Jobs|Valet Parking|-1753.873000;951.401200;24.742190;0.031307
364031D1-106C-214E-9307-109D5C16E80E|GTA SA Locations\Odd Jobs\Vehicle Missions|Burglarmobil|2259.931000;-1788.477000;13.554560;85.020120
B2A79E2A-C2AA-D540-8A57-7A0170FB3817|GTA SA Locations\Odd Jobs\Vehicle Missions|Freight Train|1689.310000;-1951.020000;14.359380;268.103400
89E4A379-8CA8-714E-8184-1217C329532C|GTA SA Locations\Odd Jobs\Vehicle Missions|Pimpmobile|1916.451000;-1794.205000;13.382810;272.084700
9A8211AE-79FB-554A-806C-7A262D438452|GTA SA Locations\Oysters|Oyster 01|979;-2210;-3;90
658EB6E6-7955-7945-A7F4-E165D6DAF793|GTA SA Locations\Oysters|Oyster 02|2750;-2584;-5;90
32EB35DB-ACDD-C542-B9F0-8AAB1C9ED0DE|GTA SA Locations\Oysters|Oyster 03|1279;-806;85;90
B304746F-3E7D-9945-AE35-05BEA6C669E1|GTA SA Locations\Oysters|Oyster 04|2945.13;-2051.93;-3;90
D9289C97-769D-804A-B5CA-92989F96E57D|GTA SA Locations\Oysters|Oyster 05|67;-1018;-5;90
2CEBCE99-444F-5244-9922-271A6FCAAE8A|GTA SA Locations\Oysters|Oyster 06|2327;-2662;-5;90
77DF1020-197D-C64C-AE58-03A305FF7A6C|GTA SA Locations\Oysters|Oyster 07|2621;-2506;-5;90
61D44E18-8242-2145-B5CE-8007761A9604|GTA SA Locations\Oysters|Oyster 08|1249;-2687;-1;90
9B61953E-2526-2A47-860A-28FC0D104C9B|GTA SA Locations\Oysters|Oyster 09|725;-1849;-5;90
6C13B7AE-6C1E-8446-91E5-BC08023B4BEC|GTA SA Locations\Oysters|Oyster 10|723;-1586;-3;90
49935586-DE41-094A-A3D4-CEAE9058BA9A|GTA SA Locations\Oysters|Oyster 11|155;-1975;-8;90
A8D924C6-F30B-BA47-8647-62A6530B6235|GTA SA Locations\Oysters|Oyster 12|1968;-1203;17;90
020657D7-6B1E-9C4C-9B8E-18E6E312968C|GTA SA Locations\Oysters|Oyster 13|-2657;1564;-6;90
DA32FB9C-2D08-5540-8788-A440B86359FE|GTA SA Locations\Oysters|Oyster 14|-1252;501;-8;90
914D4203-A1DD-9D4C-B8F8-CD3771DC9A2C|GTA SA Locations\Oysters|Oyster 15|-1625;4;-10;90
D56F5EEF-B134-4845-9A1B-8285F22814EA|GTA SA Locations\Oysters|Oyster 16|-1484;1489;-10;90
DCA1A327-31CD-124D-B549-D6B7B48DD360|GTA SA Locations\Oysters|Oyster 17|-2505.406;1543.724;-22.555;90
8790FBE3-1D81-DC45-A421-13D46639211B|GTA SA Locations\Oysters|Oyster 18|-2727;-469;-5;90
2F7EDE75-E109-F543-A837-F353114E705F|GTA SA Locations\Oysters|Oyster 19|-1266;966;-10;90
F82B8650-622F-B248-BA1E-4666A1323D69|GTA SA Locations\Oysters|Oyster 20|-1013;478;-7;90
A4D497E4-AF2E-8144-B6B7-F2021994CCD2|GTA SA Locations\Oysters|Oyster 21|-1364;390;-5;90
DAF38FEB-1A71-EE40-B27F-9DC1DB39FB63|GTA SA Locations\Oysters|Oyster 22|2578;2382;16;90
A721B75B-215D-B448-8050-30E481EE8203|GTA SA Locations\Oysters|Oyster 23|2090;1898;8;90
B91637FA-BEF1-3B4B-95C9-A85AD3DFF5F0|GTA SA Locations\Oysters|Oyster 24|2130;1152;7;90
3CD45987-A6FD-A143-B191-1A0E09A2EF25|GTA SA Locations\Oysters|Oyster 25|2013;1670;7;90
CEA5AB68-E2CB-C84F-965C-78BFB0265A35|GTA SA Locations\Oysters|Oyster 26|2531;1569;9;90
AA1400FB-8019-B04E-BEAA-58881C9ADDDD|GTA SA Locations\Oysters|Oyster 27|2998;2998;-10;90
E95532EA-C476-8349-A740-23F0BFE0C10C|GTA SA Locations\Oysters|Oyster 28|-832;925;-2;90
9CDE20C4-3F7F-0F41-A191-E021FF1B8FBB|GTA SA Locations\Oysters|Oyster 29|486;-253;-4;90
DDE044C5-03EF-EE49-88BD-A9BDDFDFD3C0|GTA SA Locations\Oysters|Oyster 30|-90;-910;-5;90
80844957-8BCB-D843-A2C4-F685253F49A1|GTA SA Locations\Oysters|Oyster 31|26.43;-1320.94;-10.04;90
B4EDBFFD-0E57-9B42-9641-B7CB8A6D1E1A|GTA SA Locations\Oysters|Oyster 32|-207;-1682;-8;90
A4810A33-54C9-0141-9740-78526E4F5063|GTA SA Locations\Oysters|Oyster 33|-1672;-1641;-2;90
9417A28D-F09A-7C4E-A4B7-03DCE391C62B|GTA SA Locations\Oysters|Oyster 34|-1175;-2639;-2.5;90
3507512E-3EB3-554F-96AE-DB5CF58FF7F2|GTA SA Locations\Oysters|Oyster 35|-1097;-2858;-8;90
C5855515-1C15-6A43-9B5A-9696AB065081|GTA SA Locations\Oysters|Oyster 36|-2889;-1042;-9;90
5EA4C8E8-3266-9546-87B4-BFEA3C836D10|GTA SA Locations\Oysters|Oyster 37|-659;874;-2;90
D3C0E542-A86A-2F47-967B-F0A6386A8622|GTA SA Locations\Oysters|Oyster 38|-955;2628;35;90
483BF962-BC3D-2445-9674-4B8CF0935F18|GTA SA Locations\Oysters|Oyster 39|-1066;2197;32;90
20D15A11-2DEE-354A-A305-9FEEAA6778C0|GTA SA Locations\Oysters|Oyster 40|40;-531;-8;90
552786ED-2694-3F4C-82A7-F95D2D6B6064|GTA SA Locations\Oysters|Oyster 41|-765;247;-8;90
540752FA-BC13-6E4E-B3AF-88CED1F10021|GTA SA Locations\Oysters|Oyster 42|2098;-108;-2;90
F96BE055-41E4-544A-A575-0388575D9E45|GTA SA Locations\Oysters|Oyster 43|2767;470;-8;90
98F0531D-F942-8441-AD12-03CAB45F9798|GTA SA Locations\Oysters|Oyster 44|-783;2116;35;90
D44FF827-C247-604B-BF34-05814E6DB653|GTA SA Locations\Oysters|Oyster 45|-821;1374;-8;90
6C3BE772-5505-0E46-92B6-69F4243868B1|GTA SA Locations\Oysters|Oyster 46|-2110.5;2329.72;-7.5;90
4A0196B6-3E92-2448-9FC4-9892276C2531|GTA SA Locations\Oysters|Oyster 47|-1538;1708;-3.27;90
2B0D2E0E-9CCA-4C4F-82AF-061DAD3FADED|GTA SA Locations\Oysters|Oyster 48|-2685;2153;-5;90
12F35C88-3FBE-6D43-969C-F099CA2D92BB|GTA SA Locations\Oysters|Oyster 49|796;2939;-5;90
B6019680-2322-A24B-B5BE-F14521A95F7A|GTA SA Locations\Oysters|Oyster 50|2179;235;-5;90
B52B73CC-C7A7-2448-B703-A78E3B9C32AC|GTA SA Locations\Photos|Photo 01|-2537.550000;-628.129000;147.906300;210.683100
76AF38E2-7741-9B4F-BA7F-88C5664FDAD5|GTA SA Locations\Photos|Photo 02|-2778.930000;-305.833400;7.046766;261.007400
439AEB3D-5E74-CC49-82E8-68B2FDD15AC8|GTA SA Locations\Photos|Photo 03|-1784.670000;-568.363200;16.484380;256.749900
5283EF21-3E1A-504A-A1A1-DBEFE95CC4B1|GTA SA Locations\Photos|Photo 04|-1541.740000;901.966600;7.265625;287.147500
FEC202E6-EC93-BB41-A473-6B847479D533|GTA SA Locations\Photos|Photo 05|-1318.490000;912.212100;46.630260;316.162000
F15C8B2C-DB3D-FD43-9266-A5EF3B3BAF88|GTA SA Locations\Photos|Photo 06|-1674.495000;393.838400;7.187500;319.140200
7E89DCCF-0196-E341-AD67-0F17741BE535|GTA SA Locations\Photos|Photo 07|-1823.781000;-97.015380;15.109380;88.731900
6667A1D6-9799-0F4F-B9CE-2B0D3464D594|GTA SA Locations\Photos|Photo 08|-2716.935000;-270.992800;7.187500;28.841780
D5064F16-C1D0-AA45-9F6D-341DDF17E370|GTA SA Locations\Photos|Photo 09|-2846.170000;374.391100;4.500000;266.596800
999423FE-C2D1-FE44-9D98-48B3C44F0304|GTA SA Locations\Photos|Photo 10|-2742.964000;783.072000;54.239150;88.924110
149C223C-909D-8F4F-B12E-14B2462158E5|GTA SA Locations\Photos|Photo 11|-2681.526000;1532.490000;60.907180;359.058600
52696522-80F2-064D-8CA2-753E50D728F3|GTA SA Locations\Photos|Photo 12|-2433.055000;1542.883000;31.859380;86.061780
9420A2C7-E981-DA40-BF5A-BCAEF4A8CFBE|GTA SA Locations\Photos|Photo 13|-1857.522000;1427.140000;7.179646;35.423750
3C1067D6-0137-B446-AA88-991BBFBE03A0|GTA SA Locations\Photos|Photo 14|-1590.894000;625.006300;42.628300;315.750000
5FF79D2D-7014-1847-A7CC-F5F45C08EA21|GTA SA Locations\Photos|Photo 15|-1283.385000;494.849000;18.234380;91.064030
03384D9C-B627-0B48-B880-626BE19DAA17|GTA SA Locations\Photos|Photo 16|-1941.005000;98.211800;26.273440;0.638702
1FDA8F25-028B-BE47-A58D-E74DB453B85A|GTA SA Locations\Photos|Photo 17|-2109.114000;449.126700;92.142140;74.369320
7F4A5274-4813-5143-A0F4-CB1A62D679C9|GTA SA Locations\Photos|Photo 18|-2279.980000;544.692600;44.734380;312.885000
6CC5B135-D0DA-284C-B349-2764A4BD348F|GTA SA Locations\Photos|Photo 19|-2020.853000;437.321400;139.742200;59.049680
F8FDC552-EEC2-3749-939B-BA33043190D4|GTA SA Locations\Photos|Photo 20|-1933.186000;642.401700;46.562500;47.419350
675B510E-29E7-9B4F-8640-6F46FD201D55|GTA SA Locations\Photos|Photo 21|-2084.601000;926.955600;68.547640;272.065100
79671A2A-F084-864A-A293-F94C8BC3E237|GTA SA Locations\Photos|Photo 22|-2375.688000;1017.252000;54.011320;274.521800
F9589173-53EC-4743-8EDF-B2CC629FB19C|GTA SA Locations\Photos|Photo 23|-2033.402000;1065.745000;55.826170;88.639290
889B655B-5B56-6347-9723-0CDDAF9A5059|GTA SA Locations\Photos|Photo 24|-1773.614000;1020.751000;97.703900;210.878300
F826FBCE-7B19-3747-9ADB-4865F49A9E5E|GTA SA Locations\Photos|Photo 25|-1917.051000;909.153800;35.847240;136.931500
97B80A02-4924-1C48-8530-FE6DBE258BF8|GTA SA Locations\Photos|Photo 26|-1841.027000;1138.178000;67.828130;181.796700
A7051CB9-888B-7244-8E6D-F35085928692|GTA SA Locations\Photos|Photo 27|-1725.471000;1321.585000;7.187500;310.910000
A551E417-A1F4-3A40-926B-ED870F1672B7|GTA SA Locations\Photos|Photo 28|-2282.131000;537.961300;44.734380;90.552250
6A7A8138-EFBB-E94F-87F2-BDBC2679E628|GTA SA Locations\Photos|Photo 29|-2442.018000;721.956000;35.022340;0.094821
7BDAA7BD-7DA3-EF48-B4B5-F0D034648F37|GTA SA Locations\Photos|Photo 30|-2727.290000;382.905400;4.374998;101.587800
