long,long,long,long,float,float,float,flags,long,
180,9,4,0,-9014.34960938,474.687896729,106.539772034,0x0,0,
181,9,5,0,-9089.40527344,415.406799316,104.16368103,0x0,0,
182,9,6,0,-9173.83691406,335.673675537,87.5905532837,0x0,0,
183,9,7,0,-9184.42675781,245.025558472,77.0256195068,0x0,0,
184,9,8,0,-9255.01269531,159.848419189,71.7042541504,0x0,0,
185,9,9,0,-9319.60644531,136.530822754,68.6328964233,0x0,0,
186,9,10,0,-9446.7578125,70.6742630005,64.4097290039,0x0,0,
187,9,11,0,-9487.40332031,64.0515441895,64.0828018188,0x0,0,
188,9,12,0,-9516.97363281,12.8332252502,60.3587913513,0x0,0,
189,9,13,0,-9544.91015625,-53.5205078125,64.7303771973,0x0,0,
2888,9,14,0,-9550.93164063,-130.857421875,61.4555664063,0x0,0,
2889,9,15,0,-9578.58105469,-215.267684937,67.1476821899,0x0,0,
2890,9,16,0,-9619.0625,-306.642150879,65.3711395264,0x0,0,
2891,9,17,0,-9614.76660156,-418.212463379,65.5120544434,0x0,0,
2892,9,18,0,-9588.64550781,-480.522460938,65.7327880859,0x0,0,
2893,9,19,0,-9617.51269531,-559.991455078,62.4463577271,0x0,0,
2894,9,20,0,-9631.18847656,-641.294067383,54.7627639771,0x0,0,
2895,9,21,0,-9656.27539063,-742.037414551,52.5753707886,0x0,0,
2896,9,22,0,-9645.34863281,-801.560791016,51.5128822327,0x0,0,
2897,9,23,0,-9585.62988281,-867.937927246,47.7364692688,0x0,0,
2898,9,24,0,-9590.52832031,-937.404296875,47.6835823059,0x0,0,
2899,9,25,0,-9622.56445313,-995.977844238,50.5300788879,0x0,0,
2900,9,26,0,-9636.56933594,-1074.78381348,52.4054603577,0x0,0,
2901,9,27,0,-9618.68457031,-1142.47827148,50.8466949463,0x0,0,
2902,9,28,0,-9644.30957031,-1218.88696289,47.8963356018,0x0,0,
2903,9,29,0,-9659.28710938,-1317.52954102,55.9568748474,0x0,0,
2904,9,30,0,-9670.28613281,-1393.9576416,60.6471481323,0x0,0,
2905,9,31,0,-9648.98730469,-1498.87133789,61.5686302185,0x0,0,
2906,9,32,0,-9627.70019531,-1536.10241699,60.9936332703,0x0,0,
2907,9,33,0,-9641.58886719,-1587.70251465,63.1984176636,0x0,0,
2908,9,34,0,-9617.10742188,-1675.21057129,63.8926200867,0x0,0,
2909,9,35,0,-9611.80664063,-1749.59130859,64.0219726563,0x0,0,
2910,9,36,0,-9619.32910156,-1820.62304688,60.1351470947,0x0,0,
2911,9,37,0,-9583.85351563,-1913.12023926,70.6550674438,0x0,0,
2912,9,38,0,-9529.08007813,-1970.16992188,86.4064712524,0x0,0,
2913,9,39,0,-9496.89453125,-2019.17248535,103.225692749,0x0,0,
2914,9,40,0,-9493.75683594,-2051.93896484,109.985733032,0x0,0,
2915,9,41,0,-9453.82226563,-2120.265625,82.667930603,0x0,0,
2916,9,42,0,-9418.24414063,-2207.42333984,73.1412582397,0x0,0,
2917,9,43,0,-9431.66992188,-2238.56958008,72.7936935425,0x0,0,
439,12,0,0,-4822.79736328,-1157.97827148,503.269744873,0x0,0,
440,12,1,0,-4830.25097656,-1124.83105469,513.519958496,0x0,0,
441,12,2,0,-4839.86914063,-1077.75720215,543.577758789,0x0,0,
442,12,3,0,-4867.41455078,-1047.96740723,551.020812988,0x0,0,
443,12,4,0,-4889.55322266,-1032.15112305,548.742492676,0x0,0,
444,12,5,0,-4921.44287109,-1008.42932129,544.909179688,0x0,0,
445,12,6,0,-4947.06884766,-972.151672363,540.798828125,0x0,0,
446,12,7,0,-4957.78857422,-914.514343262,543.519470215,0x0,0,
447,12,8,0,-4964.65820313,-901.513122559,543.602722168,0x0,0,
448,12,9,0,-4987.02929688,-875.532348633,527.603088379,0x0,0,
449,12,10,0,-5021.61230469,-833.380187988,507.319335938,0x0,0,
450,12,11,0,-5066.39599609,-799.998291016,503.127502441,0x0,0,
451,12,12,0,-5110.95507813,-793.454101562,504.344299316,0x0,0,
452,12,13,0,-5156.02197266,-778.874450684,486.889068604,0x0,0,
453,12,14,0,-5203.81298828,-713.603515625,462.347106934,0x0,0,
454,12,15,0,-5357.41650391,-677.11340332,428.803527832,0x0,0,
455,12,16,0,-5428.76074219,-631.065673828,427.560058594,0x0,0,
456,12,17,0,-5545.79052734,-677.523254395,435.642944336,0x0,0,
457,12,18,0,-5631.17578125,-672.692565918,435.588043213,0x0,0,
1248,12,19,0,-5708.91162109,-583.390258789,433.694976807,0x0,0,
1249,12,20,0,-5868.21435547,-569.537414551,453.786560059,0x0,0,
1250,12,21,0,-6002.71337891,-664.599182129,468.381622314,0x0,0,
1251,12,22,0,-6055.95214844,-676.701477051,491.51260376,0x0,0,
1252,12,23,0,-6103.06054688,-702.841064453,500.923492432,0x0,0,
1253,12,24,0,-6182.80712891,-759.242004395,471.098205566,0x0,0,
1254,12,25,0,-6302.09375,-807.986450195,425.824707031,0x0,0,
1255,12,26,0,-6427.89501953,-833.903625488,376.113067627,0x0,0,
1256,12,27,0,-6534.43457031,-879.641174316,342.303436279,0x0,0,
1257,12,28,0,-6643.68408203,-845.249572754,294.397338867,0x0,0,
1258,12,29,0,-6782.54541016,-862.067199707,284.273101807,0x0,0,
1259,12,30,0,-6913.29003906,-911.21661377,281.738220215,0x0,0,
1260,12,31,0,-6945.10595703,-993.701843262,272.743164063,0x0,0,
1261,12,32,0,-7035.35400391,-1010.515625,273.806091309,0x0,0,
1262,12,33,0,-7107.93164063,-945.732666016,286.628265381,0x0,0,
1263,12,34,0,-7178.48779297,-858.067932129,330.934173584,0x0,0,
1264,12,35,0,-7220.71630859,-798.405822754,333.542114258,0x0,0,
1265,12,36,0,-7376.29785156,-753.775512695,349.039306641,0x0,0,
1266,12,37,0,-7513.95068359,-706.66809082,261.967681885,0x0,0,
1267,12,38,0,-7625.78662109,-709.525085449,231.209777832,0x0,0,
1268,12,39,0,-7817.06591797,-723.25390625,197.413085938,0x0,0,
1269,12,40,0,-7879.46533203,-790.337890625,166.989624023,0x0,0,
1270,12,41,0,-7972.42529297,-814.0859375,162.116943359,0x0,0,
1271,12,42,0,-8125.31591797,-746.774108887,165.820709229,0x0,0,
1272,12,43,0,-8154.0,-657.825317383,205.122497559,0x0,0,
1273,12,44,0,-8154.26318359,-562.544921875,212.892623901,0x0,0,
1274,12,45,0,-8242.65820313,-445.082458496,212.041595459,0x0,0,
1275,12,46,0,-8289.48632813,-378.368377686,156.277877808,0x0,0,
1276,12,47,0,-8372.02832031,-387.758361816,152.279586792,0x0,0,
1277,12,48,0,-8434.69628906,-408.287872314,152.143783569,0x0,0,
1278,12,49,0,-8518.54785156,-470.904724121,152.038619995,0x0,0,
1279,12,50,0,-8576.82519531,-495.967895508,152.34538269,0x0,0,
1280,12,51,0,-8649.18457031,-487.342559814,152.433883667,0x0,0,
1281,12,52,0,-8724.703125,-429.48059082,149.761230469,0x0,0,
1314,12,53,0,-8782.3125,-376.378814697,101.405227661,0x0,0,
2702,12,54,0,-8887.08886719,-338.094512939,85.9079742432,0x0,0,
2703,12,55,0,-8978.76953125,-305.905914307,81.1082763672,0x0,0,
2704,12,56,0,-9023.16113281,-232.139328003,81.0653991699,0x0,0,
2705,12,57,0,-9081.32910156,-206.189559937,85.8152542114,0x0,0,
2706,12,58,0,-9107.56054688,-164.754989624,96.0025405884,0x0,0,
2707,12,59,0,-9135.3125,-68.516708374,89.7096939087,0x0,0,
2708,12,60,0,-9150.24316406,1.4309899807,86.8735046387,0x0,0,
2709,12,61,0,-9181.91308594,81.0322265625,81.6350479126,0x0,0,
2710,12,62,0,-9218.95898438,143.882598877,76.5073928833,0x0,0,
2711,12,63,0,-9210.90429688,201.522674561,77.834526062,0x0,0,
2712,12,64,0,-9178.97070313,240.384170532,85.570350647,0x0,0,
2713,12,65,0,-9127.26855469,295.670806885,100.845962524,0x0,0,
2714,12,66,0,-9122.37890625,381.186645508,99.2513961792,0x0,0,
2715,12,67,0,-9079.12207031,425.232330322,104.484893799,0x0,0,
2716,12,68,0,-9030.64746094,461.335723877,105.652061462,0x0,0,
2717,12,69,0,-8984.52246094,481.413787842,107.251152039,0x0,0,
2738,12,70,0,-8917.50292969,440.175842285,105.251342773,0x0,0,
2739,12,71,0,-8853.35058594,463.797851563,112.428459167,0x0,0,
2740,12,72,0,-8833.5078125,481.685546875,110.185112,0x0,0,
503,13,0,0,-8847.49121094,496.966949463,111.661399841,0x0,0,
504,13,1,0,-8867.20898438,483.624237061,113.413063049,0x0,0,
505,13,2,0,-8935.34179688,454.308166504,111.081047058,0x0,0,
506,13,3,0,-9029.81738281,448.945037842,109.538223267,0x0,0,
507,13,4,0,-9084.54785156,418.001617432,108.463363647,0x0,0,
508,13,5,0,-9143.36425781,371.330413818,98.5642929077,0x0,0,
509,13,6,0,-9225.85449219,291.021209717,81.5952911377,0x0,0,
510,13,7,0,-9265.62207031,234.815261841,76.4870605469,0x0,0,
511,13,8,0,-9316.73730469,192.980255127,73.3611984253,0x0,0,
512,13,9,0,-9368.078125,139.080947876,69.4391403198,0x0,0,
513,13,10,0,-9426.640625,75.494468689,64.5749893188,0x0,0,
514,13,11,0,-9423.14257813,34.0231132507,65.3280792236,0x0,0,
515,13,12,0,-9335.2109375,-52.7736549377,73.8581695557,0x0,0,
516,13,13,0,-9240.41308594,-102.276908875,78.6728973389,0x0,0,
517,13,14,0,-9223.41015625,-193.541564941,85.3015518188,0x0,0,
518,13,15,0,-9225.27832031,-280.452056885,133.424728394,0x0,0,
519,13,16,0,-9115.01757813,-320.214752197,144.742507935,0x0,0,
520,13,17,0,-8984.97070313,-310.885528564,150.068572998,0x0,0,
521,13,18,0,-8761.8125,-406.556549072,154.290985107,0x0,0,
522,13,19,0,-8644.484375,-484.154205322,156.79776001,0x0,0,
1315,13,20,0,-8543.97363281,-488.519958496,156.037796021,0x0,0,
1316,13,21,0,-8434.86914063,-407.2265625,156.218276978,0x0,0,
1317,13,22,0,-8332.49609375,-383.061187744,156.972137451,0x0,0,
1318,13,23,0,-8272.14941406,-396.352111816,184.277877808,0x0,0,
1319,13,24,0,-8236.64355469,-435.641723633,213.629470825,0x0,0,
1320,13,25,0,-8182.35058594,-514.252929688,211.904312134,0x0,0,
1321,13,26,0,-8151.91259766,-586.125671387,207.870147705,0x0,0,
1322,13,27,0,-8171.59570313,-668.842041016,209.082763672,0x0,0,
1323,13,28,0,-8208.43261719,-822.799499512,178.350921631,0x0,0,
1324,13,29,0,-8174.83496094,-1017.10858154,176.781829834,0x0,0,
1325,13,30,0,-8043.63037109,-1270.27148438,184.334014893,0x0,0,
1326,13,31,0,-7865.43310547,-1467.00109863,188.748733521,0x0,0,
1327,13,32,0,-7675.61132813,-1591.38452148,218.312454224,0x0,0,
1328,13,33,0,-7474.43994141,-1613.00317383,312.000579834,0x0,0,
1329,13,34,0,-7382.21630859,-1612.04553223,330.292907715,0x0,0,
1330,13,35,0,-7302.22558594,-1651.14477539,308.464538574,0x0,0,
1331,13,36,0,-7168.88818359,-1656.11853027,289.667022705,0x0,0,
1332,13,37,0,-7073.17919922,-1618.09838867,286.394287109,0x0,0,
1333,13,38,0,-6935.05371094,-1542.37683105,257.619018555,0x0,0,
1334,13,39,0,-6769.90087891,-1358.22033691,256.036193848,0x0,0,
1335,13,40,0,-6675.35253906,-1218.73303223,272.666992188,0x0,0,
1336,13,41,0,-6639.33642578,-1066.05175781,291.515289307,0x0,0,
1337,13,42,0,-6642.52587891,-936.734619141,293.814788818,0x0,0,
1338,13,43,0,-6540.84375,-890.483154297,320.38104248,0x0,0,
1339,13,44,0,-6395.61181641,-834.20489502,388.876617432,0x0,0,
1340,13,45,0,-6212.21289063,-820.626342773,456.412109375,0x0,0,
1341,13,46,0,-6097.54003906,-812.286376953,471.728302002,0x0,0,
1342,13,47,0,-6042.41015625,-811.710021973,509.296051025,0x0,0,
1343,13,48,0,-5993.48193359,-825.021606445,501.274414063,0x0,0,
1344,13,49,0,-5956.04248047,-814.81427002,500.585784912,0x0,0,
1345,13,50,0,-5831.60742188,-729.523376465,456.769927979,0x0,0,
1346,13,51,0,-5798.86035156,-606.812561035,446.493469238,0x0,0,
2608,13,52,0,-5761.75048828,-540.917358398,431.126495361,0x0,0,
2609,13,53,0,-5686.39892578,-493.178436279,424.422210693,0x0,0,
2610,13,54,0,-5534.60595703,-483.706817627,421.496734619,0x0,0,
2611,13,55,0,-5323.13085938,-532.512695313,436.890533447,0x0,0,
2612,13,56,0,-5168.16064453,-775.108703613,503.522033691,0x0,0,
2613,13,57,0,-5105.92041016,-791.589599609,503.927185059,0x0,0,
2614,13,58,0,-5051.82275391,-803.761413574,503.127502441,0x0,0,
2615,13,59,0,-5021.07275391,-834.868164063,507.319549561,0x0,0,
2616,13,60,0,-4987.61572266,-876.45489502,535.127502441,0x0,0,
2617,13,61,0,-4965.29443359,-901.901123047,543.12713623,0x0,0,
2618,13,62,0,-4942.97949219,-917.629150391,543.127502441,0x0,0,
2619,13,63,0,-4889.66259766,-931.610900879,539.19317627,0x0,0,
2620,13,64,0,-4870.82226563,-964.171020508,544.403930664,0x0,0,
2621,13,65,0,-4855.88720703,-999.514221191,548.121276855,0x0,0,
2622,13,66,0,-4839.48486328,-1034.74450684,550.482299805,0x0,0,
2623,13,67,0,-4803.50390625,-1086.42687988,542.028625488,0x0,0,
2624,13,68,0,-4768.60205078,-1096.92407227,531.834289551,0x0,0,
2625,13,69,0,-4743.15820313,-1119.59033203,519.797302246,0x0,0,
2626,13,70,0,-4772.31640625,-1154.02282715,512.333435059,0x0,0,
2747,13,71,0,-4821.61328125,-1155.57946777,503.778747559,0x0,0,
741,15,0,0,-5421.10839844,-2928.61230469,351.915344238,0x0,0,
742,15,1,0,-5469.80761719,-2926.42822266,361.170074463,0x0,0,
743,15,2,0,-5512.31933594,-2850.48388672,374.776763916,0x0,0,
744,15,3,0,-5460.9296875,-2741.30126953,412.174591064,0x0,0,
745,15,4,0,-5500.67626953,-2647.12133789,469.4012146,0x0,0,
746,15,5,0,-5505.02587891,-2569.84887695,486.558746338,0x0,0,
747,15,6,0,-5514.47021484,-2437.68383789,432.47958374,0x0,0,
748,15,7,0,-5543.63623047,-2295.73291016,501.956115723,0x0,0,
749,15,8,0,-5506.14599609,-2210.20117188,492.090820313,0x0,0,
750,15,9,0,-5532.42041016,-2134.41894531,433.312408447,0x0,0,
751,15,10,0,-5587.42626953,-2064.81030273,404.372619629,0x0,0,
752,15,11,0,-5601.02587891,-1978.13696289,404.372619629,0x0,0,
753,15,12,0,-5610.95166016,-1856.20373535,413.071868896,0x0,0,
754,15,13,0,-5641.10302734,-1791.67553711,407.13092041,0x0,0,
755,15,14,0,-5656.55761719,-1747.23596191,417.278961182,0x0,0,
756,15,15,0,-5657.33984375,-1648.2611084,439.143463135,0x0,0,
757,15,16,0,-5686.91162109,-1582.43835449,403.20425415,0x0,0,
758,15,17,0,-5667.79785156,-1473.76062012,417.956787109,0x0,0,
759,15,18,0,-5648.81445313,-1339.88891602,406.215789795,0x0,0,
760,15,19,0,-5714.65625,-1260.37072754,397.310638428,0x0,0,
761,15,20,0,-5696.28222656,-1168.21325684,408.178436279,0x0,0,
762,15,21,0,-5634.63427734,-1129.15869141,405.193511963,0x0,0,
763,15,22,0,-5616.85009766,-1036.50756836,413.163818359,0x0,0,
764,15,23,0,-5531.16894531,-1039.38989258,434.07611084,0x0,0,
765,15,24,0,-5470.59960938,-999.8359375,440.222564697,0x0,0,
766,15,25,0,-5427.80126953,-926.10723877,445.329986572,0x0,0,
767,15,26,0,-5302.19287109,-805.496887207,442.178894043,0x0,0,
768,15,27,0,-5260.41308594,-751.923034668,449.918914795,0x0,0,
769,15,28,0,-5226.64501953,-732.549743652,463.955993652,0x0,0,
770,15,29,0,-5155.59570313,-733.546020508,485.626525879,0x0,0,
771,15,30,0,-5094.88964844,-770.671325684,502.982635498,0x0,0,
772,15,31,0,-5020.42285156,-836.154418945,504.899078369,0x0,0,
773,15,32,0,-4987.56445313,-875.930969238,527.12713623,0x0,0,
774,15,33,0,-4964.46875,-901.554199219,543.127502441,0x0,0,
775,15,34,0,-4947.63818359,-916.239379883,543.127502441,0x0,0,
776,15,35,0,-4886.24316406,-937.864379883,539.472473145,0x0,0,
777,15,36,0,-4870.37255859,-964.69708252,544.918212891,0x0,0,
778,15,37,0,-4858.50146484,-994.763671875,548.140197754,0x0,0,
779,15,38,0,-4845.47216797,-1024.78308105,550.251708984,0x0,0,
780,15,39,0,-4822.14306641,-1054.16650391,546.055969238,0x0,0,
781,15,40,0,-4783.12402344,-1065.93395996,534.167785645,0x0,0,
782,15,41,0,-4746.23730469,-1095.95275879,525.27911377,0x0,0,
783,15,42,0,-4759.10742188,-1148.36987305,517.278137207,0x0,0,
784,15,43,0,-4791.24902344,-1163.10314941,511.908630371,0x0,0,
2589,15,44,0,-4822.39892578,-1156.91369629,503.436431885,0x0,0,
650,16,0,0,-4822.81494141,-1157.98583984,503.241973877,0x0,0,
651,16,1,0,-4830.33105469,-1124.69433594,513.826171875,0x0,0,
652,16,2,0,-4839.84228516,-1077.64221191,543.52130127,0x0,0,
653,16,3,0,-4867.19482422,-1047.99169922,550.965698242,0x0,0,
654,16,4,0,-4889.34667969,-1032.10461426,548.742858887,0x0,0,
655,16,5,0,-4921.54833984,-1008.38098145,544.853759766,0x0,0,
656,16,6,0,-4947.04541016,-972.202026367,540.659851074,0x0,0,
657,16,7,0,-4957.90429688,-914.586914063,543.602722168,0x0,0,
658,16,8,0,-4966.69775391,-904.44317627,543.603088379,0x0,0,
659,16,9,0,-4986.63378906,-875.959289551,527.603088379,0x0,0,
660,16,10,0,-5020.95996094,-834.343322754,507.319335938,0x0,0,
661,16,11,0,-5064.68115234,-798.774414063,507.127105713,0x0,0,
662,16,12,0,-5123.64794922,-795.646362305,504.098846436,0x0,0,
663,16,13,0,-5191.59619141,-825.299072266,479.544769287,0x0,0,
664,16,14,0,-5267.20996094,-871.401916504,449.141357422,0x0,0,
665,16,15,0,-5310.35009766,-952.016601563,414.817718506,0x0,0,
666,16,16,0,-5368.88525391,-1059.52478027,417.168792725,0x0,0,
667,16,17,0,-5410.91699219,-1103.02087402,451.350250244,0x0,0,
668,16,18,0,-5467.12109375,-1219.43127441,500.466949463,0x0,0,
669,16,19,0,-5522.87744141,-1395.9543457,413.955505371,0x0,0,
670,16,20,0,-5568.03369141,-1522.06091309,411.773345947,0x0,0,
671,16,21,0,-5534.72900391,-1603.99572754,402.364532471,0x0,0,
672,16,22,0,-5527.74609375,-1692.45117187,403.152374268,0x0,0,
673,16,23,0,-5506.48095703,-1765.9029541,405.537902832,0x0,0,
2720,16,24,0,-5521.47070313,-1917.21374512,409.133392334,0x0,0,
2721,16,25,0,-5569.65869141,-1999.06384277,416.372528076,0x0,0,
2722,16,26,0,-5557.54003906,-2089.7355957,416.961761475,0x0,0,
2723,16,27,0,-5511.8828125,-2158.23168945,465.511352539,0x0,0,
2724,16,28,0,-5509.453125,-2208.58813477,494.296051025,0x0,0,
2725,16,29,0,-5510.38720703,-2288.28540039,507.695526123,0x0,0,
2726,16,30,0,-5503.97753906,-2418.18725586,434.192199707,0x0,0,
2727,16,31,0,-5452.56933594,-2503.40209961,483.142028809,0x0,0,
2728,16,32,0,-5404.74121094,-2580.39526367,498.562561035,0x0,0,
2729,16,33,0,-5413.6875,-2639.18164063,467.981872559,0x0,0,
2730,16,34,0,-5406.81103516,-2728.50170898,407.886749268,0x0,0,
2731,16,35,0,-5420.73046875,-2800.52734375,381.255889893,0x0,0,
2732,16,36,0,-5410.28710938,-2867.09326172,359.637359619,0x0,0,
2733,16,37,0,-5421.10058594,-2928.65161133,350.9112854,0x0,0,
838,17,0,0,-3791.05517578,-782.97833252,10.0785713196,0x0,0,
839,17,1,0,-3778.6027832,-761.945983887,15.8164873123,0x0,0,
840,17,2,0,-3791.83642578,-734.87878418,19.4996318817,0x0,0,
841,17,3,0,-3825.61328125,-735.944030762,22.8472423553,0x0,0,
842,17,4,0,-3855.60327148,-754.449707031,23.8837013245,0x0,0,
843,17,5,0,-3885.42626953,-783.167236328,26.4134521484,0x0,0,
844,17,6,0,-3903.9152832,-846.636047363,27.9729728699,0x0,0,
845,17,7,0,-3956.05249023,-893.181152344,41.2648086548,0x0,0,
846,17,8,0,-4050.8762207,-921.659729004,117.608146667,0x0,0,
847,17,9,0,-4116.52099609,-942.04309082,175.707595825,0x0,0,
848,17,10,0,-4259.83447266,-973.393127441,305.76965332,0x0,0,
849,17,11,0,-4411.20947266,-961.517456055,499.641601563,0x0,0,
850,17,12,0,-4566.70556641,-900.117797852,663.554504395,0x0,0,
851,17,13,0,-4660.21826172,-934.176025391,778.860168457,0x0,0,
852,17,14,0,-4732.16259766,-915.474609375,832.187805176,0x0,0,
853,17,15,0,-4827.93505859,-838.647705078,812.703918457,0x0,0,
854,17,16,0,-4893.29492188,-765.938049316,752.817321777,0x0,0,
855,17,17,0,-4970.44189453,-665.707336426,627.056396484,0x0,0,
856,17,18,0,-5051.37109375,-709.352722168,553.183898926,0x0,0,
857,17,19,0,-5046.45703125,-786.472839355,511.117584229,0x0,0,
858,17,20,0,-5019.80322266,-834.073669434,506.173461914,0x0,0,
859,17,21,0,-4986.88525391,-874.942382813,527.127502441,0x0,0,
860,17,22,0,-4965.81152344,-901.885803223,543.127502441,0x0,0,
861,17,23,0,-4946.49316406,-917.497192383,543.127502441,0x0,0,
